Subject,Catalog,Title,preq1 subject,preq1 catalog,pereq1 title ,Co /Pre,AND/OR,preq2 sub,preq2 cat,pereq2 title ,Co /Pre,AND/OR,preq3 no,preq3 cat,pereq3 title ,Co /Pre,AND/OR,preq4 no,preq4 cat,pereq4 title ,Co /Pre,
BIO,F110,BIOLOGICAL LABORATORY,,,,,,,,,,,,,,,,,,,,
BIO,F111,GENERAL BIOLOGY,,,,,,,,,,,,,,,,,,,,
BIO,F211,BIOLOGICAL CHEMISTRY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F212,MICROBIOLOGY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F213,CELL BIOLOGY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F214,INTEGRATED BIOLOGY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F215,BIOPHYSICS,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F241,ECOLOGY & ENVIRON SCI,,,,,,,,,,,,,,,,,,,,
BIO,F242,INTRO TO BIOINFORMATICS,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F243,GENETICS,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F244,INSTRU METHODS OF ANAL,BIO,    F110,BIOLOGICAL LABORATORY,PRE,,,,,,,,,,,,,,,,
BIO,F312,PLANT PHYSIOLOGY,BIO,    F211,BIOLOGICAL CHEMISTRY,PRE,AND,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,
BIO,F313,ANIMAL PHYSIOLOGY,BIO,    F211,BIOLOGICAL CHEMISTRY,PRE,AND,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,
BIO,F341,DEVELOPMENTAL BIOLOGY,BIO,    F243,GENETICS,PRE,AND,BIO,    F213,CELL BIOLOGY,PRE,,,,,,,,,,,
BIO,F342,IMMUNOLOGY,BIO,    F212,MICROBIOLOGY,PRE,AND,BIO,    F213,CELL BIOLOGY,PRE,,,,,,,,,,,
BIO,F352,CELL & TISSUE CULTR TECH,,,,,,,,,,,,,,,,,,,,
BIO,F413,MOLECULAR BIO OF CELL,,,,,,,,,,,,,,,,,,,,
BIO,F418,GENETIC ENGINEERING TECH,,,,,,,,,,,,,,,,,,,,
BIO,F419,MOLECULAR EVOLUTION,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F431,REPRODUCTIVE  PHYSIOLOGY,BIO,    F313,ANIMAL PHYSIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,F441,BIOCHEMICAL ENGINEERING,,,,,,,,,,,,,,,,,,,,
BIO,F451,BIOPROCESS TECHNOLOGY,,,,,,,,,,,,,,,,,,,,
BIO,G515,STEM CELL AND GENERATIBE BIOLOGY  ,BIO ,F341,DEVELOPMENTAL BIOLOGY,CO,,,,,,,,,,,,,,,,
BIO,G526,CANCER BIOLOGY,BIO ,F243,GENETICS,PRE,,,,,,,,,,,,,,,,
BIO,G545,MOLECULAR PARASITOLOGY AND VECTOR BIOLOGY,BIO ,F342,IMMUNOBIOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,G561,ADVANCES IN RECOMBINANT DNA TECH,BIO,F311,RECOMBINANT DNA TECH,,,,,,,,,,,,,,,,,
BIO,G561,ADVANCES IN RECOMBINANT DNA TECHNOLOGY,BIO,F311,RECOMBINANT DNA TECHNOLOGY,PRE,,,,,,,,,,,,,,,,
BIO,G570,RECENT DEVELOPMENTS IN BIOLOGY,,,,,,,,,,,,,,,,,,,,
BIO,G612,HUMAN GENETICS,BIO ,F243,GENETICS,PRE,AND,BIO,F311,RECOMBINANT DNA TECH,CO-REQ,,,,,,,,,,,
BIO,G612,HUMAN GENETICS,BIO ,F243,GENETICS,PRE,AND,BIO,F 311,RECOMBINANT DNA TECHNOLOGY,CO-REQ,,,,,,,,,,,
BIOT,F211,BIOLOGICAL CHEMISTRY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
BIOT,F212,MICROBIOLOGY,BIO,    F111,GENERAL BIOLOGY,PRE,,,,,,,,,,,,,,,,
